Handle,Command,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Image Command,Gift Card,SEO Title,SEO Description,Variant Weight Unit,Status,Metafield: custom.style_code [single_line_text_field],Metafield: custom.fabric [single_line_text_field],Metafield: custom.colour [single_line_text_field],Metafield: custom.fit [single_line_text_field],Metafield: custom.neckline [single_line_text_field],Metafield: custom.sleeves [single_line_text_field],Metafield: custom.bottom [single_line_text_field],Metafield: custom.dupatta [single_line_text_field],Metafield: custom.pattern [single_line_text_field],Metafield: custom.length [single_line_text_field],Metafield: custom.care_instructions [single_line_text_field],Metafield: custom.net_quantity [single_line_text_field],Metafield: custom.model_size [single_line_text_field],Metafield: custom.country_of_origin [single_line_text_field],Metafield: custom.marketed_by [multi_line_text_field],Metafield: custom.manufactured_by [multi_line_text_field]
white-pink-floral-printed-cotton-straight-kurta-pant-set-10053a,MERGE,White & Pink Floral Printed Cotton Straight Kurta Pant Set,"<p>This elegant White & Pink Floral Printed 2-Piece Kurta Pant Set, crafted from premium cotton fabric for exceptional comfort and breathability. The straight-fit white kurta features an all-over floral print in soft pink hues, complemented by a flattering V-neckline and printed border detailing on the sleeves and hem.</p><p>Paired with matching solid white straight pants.</p>",Raa Vedic,Kurta Set,"2 Piece Set, Cotton, 1500 to 2500, Under the Neem Trees, New Arrival, White & Pink, White, Pink, Straight Fit, Printed, Floral",TRUE,Size,S,10053A-WHITEPIN-S,520,shopify,10,deny,manual,1999,,TRUE,TRUE,8903629426768,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10053a-white-and-pink-jul-01.jpg,1,"White & Pink Floral Printed Cotton Straight Kurta Pant Set, view 1",REPLACE,FALSE,White & Pink Floral Printed Cotton Straight Kurta Pant Set | Raa Vedic,"This elegant White & Pink Floral Printed 2-Piece Kurta Pant Set, crafted from premium cotton fabric for exceptional comfort and breathability. The straight-fit white kurta features an all-over floral print in soft pink hues, complemented by a flattering V-neckline and printed border detailing on the sleeves and hem.Pai",g,active,10053A,Cotton,White & Pink,Straight Fit,,,,,Printed Floral,,,2,,India,"Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015","Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015"
white-pink-floral-printed-cotton-straight-kurta-pant-set-10053a,,,,,,,,Size,M,10053A-WHITEPIN-M,520,shopify,10,deny,manual,1999,,TRUE,TRUE,8903629426775,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10053a-white-and-pink-jul-02.jpg,2,"White & Pink Floral Printed Cotton Straight Kurta Pant Set, view 2",,,,,g,,,,,,,,,,,,,,,,,
white-pink-floral-printed-cotton-straight-kurta-pant-set-10053a,,,,,,,,Size,L,10053A-WHITEPIN-L,520,shopify,10,deny,manual,1999,,TRUE,TRUE,8903629426782,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10053a-white-and-pink-jul-03.jpg,3,"White & Pink Floral Printed Cotton Straight Kurta Pant Set, view 3",,,,,g,,,,,,,,,,,,,,,,,
white-pink-floral-printed-cotton-straight-kurta-pant-set-10053a,,,,,,,,Size,XL,10053A-WHITEPIN-XL,520,shopify,10,deny,manual,1999,,TRUE,TRUE,8903629426799,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10053a-white-and-pink-jul-04.jpg,4,"White & Pink Floral Printed Cotton Straight Kurta Pant Set, view 4",,,,,g,,,,,,,,,,,,,,,,,
white-pink-floral-printed-cotton-straight-kurta-pant-set-10053a,,,,,,,,Size,XXL,10053A-WHITEPIN-XXL,520,shopify,10,deny,manual,1999,,TRUE,TRUE,8903629426805,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10053a-white-and-pink-jul-05.jpg,5,"White & Pink Floral Printed Cotton Straight Kurta Pant Set, view 5",,,,,g,,,,,,,,,,,,,,,,,
white-pink-floral-printed-cotton-straight-kurta-pant-set-10053a,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10053a-white-and-pink-jul-06.jpg,6,"White & Pink Floral Printed Cotton Straight Kurta Pant Set, view 6",,,,,,,,,,,,,,,,,,,,,,
white-pink-floral-printed-cotton-straight-kurta-pant-set-10053a,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10053a-white-and-pink-jul-07.jpg,7,"White & Pink Floral Printed Cotton Straight Kurta Pant Set, view 7",,,,,,,,,,,,,,,,,,,,,,
peach-floral-printed-fendy-silk-straight-kurta-pant-set,MERGE,Peach Floral Printed Fendy Silk Straight Kurta Pant Set |,"<p>This Peach Floral Printed 3-Piece Kurta Pant Set, crafted from premium Fendy Silk fabric that offers a soft texture, graceful drape, and luxurious feel. The straight-fit kurta features a delicate floral print along the hem, complemented by subtle embellishments on the neckline for a sophisticated finish.</p><p>Paired with matching straight pants, this ensemble is perfect for festive occasions, family gatherings, office wear, and elegant daytime celebrations.</p>",Raa Vedic,Kurta Set,"2 Piece Set, Fendy Silk, 1500 to 2500, Under the Neem Trees, New Arrival, Peach, Straight Fit, Printed, Floral, Festive, Office Wear, Family Gatherings, Daytime Celebrations",TRUE,Size,S,10003-PEACH-S,520,shopify,10,deny,manual,2499,,TRUE,TRUE,8903629372287,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-peach-jul-01.jpg,1,"Peach Floral Printed Fendy Silk Straight Kurta Pant Set |, view 1",REPLACE,FALSE,Peach Floral Printed Fendy Silk Straight Kurta Pant Set | | Raa Vedic,"This Peach Floral Printed 3-Piece Kurta Pant Set, crafted from premium Fendy Silk fabric that offers a soft texture, graceful drape, and luxurious feel. The straight-fit kurta features a delicate floral print along the hem, complemented by subtle embellishments on the neckline for a sophisticated finish.Paired with mat",g,active,10003,Fendy Silk,Peach,Straight Fit,Round Neck,Three-Quarter Sleeves,Solid Straight Pants,,Floral Printed,,Dry Clean Recommended or Gentle Hand Wash,3,The model (height 5'6) is wearing a size M,India,"Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015","Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015"
peach-floral-printed-fendy-silk-straight-kurta-pant-set,,,,,,,,Size,M,10003-PEACH-M,520,shopify,10,deny,manual,2499,,TRUE,TRUE,8903629372294,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-peach-jul-02.jpg,2,"Peach Floral Printed Fendy Silk Straight Kurta Pant Set |, view 2",,,,,g,,,,,,,,,,,,,,,,,
peach-floral-printed-fendy-silk-straight-kurta-pant-set,,,,,,,,Size,L,10003-PEACH-L,520,shopify,10,deny,manual,2499,,TRUE,TRUE,8903629372300,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-peach-jul-03.jpg,3,"Peach Floral Printed Fendy Silk Straight Kurta Pant Set |, view 3",,,,,g,,,,,,,,,,,,,,,,,
peach-floral-printed-fendy-silk-straight-kurta-pant-set,,,,,,,,Size,XL,10003-PEACH-XL,520,shopify,10,deny,manual,2499,,TRUE,TRUE,8903629372317,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-peach-jul-04.jpg,4,"Peach Floral Printed Fendy Silk Straight Kurta Pant Set |, view 4",,,,,g,,,,,,,,,,,,,,,,,
peach-floral-printed-fendy-silk-straight-kurta-pant-set,,,,,,,,Size,XXL,10003-PEACH-XXL,520,shopify,10,deny,manual,2499,,TRUE,TRUE,8903629372324,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-peach-jul-05.jpg,5,"Peach Floral Printed Fendy Silk Straight Kurta Pant Set |, view 5",,,,,g,,,,,,,,,,,,,,,,,
peach-floral-printed-fendy-silk-straight-kurta-pant-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-peach-jul-06.jpg,6,"Peach Floral Printed Fendy Silk Straight Kurta Pant Set |, view 6",,,,,,,,,,,,,,,,,,,,,,
peach-floral-printed-fendy-silk-straight-kurta-pant-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-peach-jul-07.jpg,7,"Peach Floral Printed Fendy Silk Straight Kurta Pant Set |, view 7",,,,,,,,,,,,,,,,,,,,,,
blue-floral-printed-fendy-silk-straight-kurta-pant-set,MERGE,Blue Floral Printed Fendy Silk Straight Kurta Pant Set,"<p>This elegant Blue Floral Printed 2-Piece Kurta Pant Set, crafted from premium Fendy Silk fabric for a luxurious feel and graceful drape. The straight-fit kurta features delicate floral prints along the hem, accented with subtle motifs throughout and contrast yellow piping on the neckline, sleeves, and hem for a sophisticated finish.</p><p>Paired with matching straight pants in a complementary blue shade.</p>",Raa Vedic,Kurta Set,"2 Piece Set, Fendy Silk, 1500 to 2500, Under the Neem Trees, New Arrival, Blue, Straight Fit, Printed, Floral",TRUE,Size,S,10003-BLUE-S,520,shopify,10,deny,manual,2499,,TRUE,TRUE,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-blue-jul-01.jpg,1,"Blue Floral Printed Fendy Silk Straight Kurta Pant Set, view 1",REPLACE,FALSE,Blue Floral Printed Fendy Silk Straight Kurta Pant Set | Raa Vedic,"This elegant Blue Floral Printed 2-Piece Kurta Pant Set, crafted from premium Fendy Silk fabric for a luxurious feel and graceful drape. The straight-fit kurta features delicate floral prints along the hem, accented with subtle motifs throughout and contrast yellow piping on the neckline, sleeves, and hem for a sophist",g,active,10003,Fendy Silk,Blue,Straight Fit,,,,,Printed Floral,,,2,,India,"Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015","Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015"
blue-floral-printed-fendy-silk-straight-kurta-pant-set,,,,,,,,Size,M,10003-BLUE-M,520,shopify,10,deny,manual,2499,,TRUE,TRUE,8903629372195,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-blue-jul-02.jpg,2,"Blue Floral Printed Fendy Silk Straight Kurta Pant Set, view 2",,,,,g,,,,,,,,,,,,,,,,,
blue-floral-printed-fendy-silk-straight-kurta-pant-set,,,,,,,,Size,L,10003-BLUE-L,520,shopify,10,deny,manual,2499,,TRUE,TRUE,8903629372201,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-blue-jul-03.jpg,3,"Blue Floral Printed Fendy Silk Straight Kurta Pant Set, view 3",,,,,g,,,,,,,,,,,,,,,,,
blue-floral-printed-fendy-silk-straight-kurta-pant-set,,,,,,,,Size,XL,10003-BLUE-XL,520,shopify,10,deny,manual,2499,,TRUE,TRUE,8903629372218,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-blue-jul-04.jpg,4,"Blue Floral Printed Fendy Silk Straight Kurta Pant Set, view 4",,,,,g,,,,,,,,,,,,,,,,,
blue-floral-printed-fendy-silk-straight-kurta-pant-set,,,,,,,,Size,XXL,10003-BLUE-XXL,520,shopify,10,deny,manual,2499,,TRUE,TRUE,8903629372225,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-blue-jul-05.jpg,5,"Blue Floral Printed Fendy Silk Straight Kurta Pant Set, view 5",,,,,g,,,,,,,,,,,,,,,,,
blue-floral-printed-fendy-silk-straight-kurta-pant-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-blue-jul-06.jpg,6,"Blue Floral Printed Fendy Silk Straight Kurta Pant Set, view 6",,,,,,,,,,,,,,,,,,,,,,
blue-floral-printed-fendy-silk-straight-kurta-pant-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-blue-jul-07.jpg,7,"Blue Floral Printed Fendy Silk Straight Kurta Pant Set, view 7",,,,,,,,,,,,,,,,,,,,,,
blue-floral-printed-fendy-silk-straight-kurta-pant-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-blue-jul-08.jpg,8,"Blue Floral Printed Fendy Silk Straight Kurta Pant Set, view 8",,,,,,,,,,,,,,,,,,,,,,
blue-floral-printed-fendy-silk-straight-kurta-pant-set,,,,,,,,,,,,,,,,,,,,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-blue-jul-09.jpg,9,"Blue Floral Printed Fendy Silk Straight Kurta Pant Set, view 9",,,,,,,,,,,,,,,,,,,,,,
grey-floral-printed-romanam-top,MERGE,Grey Floral Printed Romanam Top,"<p>Elevate your everyday style with this Grey Floral Printed Romanam Top, crafted from soft and comfortable Romanam fabric. Featuring an elegant floral print, a smart mandarin collar, and three-quarter sleeves, this top offers a perfect balance of comfort and sophistication.</p><p>Its versatile design pairs effortlessly with trousers, jeans, or ethnic bottoms.</p>",Raa Vedic,Top,"Top, Romanam, Under 1500, Under the Neem Trees, New Arrival, Grey, Printed, Floral, Daily Wear",TRUE,Size,S,10061-GREY-S,260,shopify,10,deny,manual,1199,,TRUE,TRUE,8903629426164,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10061-grey-jul-01.jpg,1,"Grey Floral Printed Romanam Top, view 1",REPLACE,FALSE,Grey Floral Printed Romanam Top | Raa Vedic,"Elevate your everyday style with this Grey Floral Printed Romanam Top, crafted from soft and comfortable Romanam fabric. Featuring an elegant floral print, a smart mandarin collar, and three-quarter sleeves, this top offers a perfect balance of comfort and sophistication.Its versatile design pairs effortlessly with tro",g,active,10061,Romanam,Grey,Regular Fit,Mandarin Collar,Three-Quarter Sleeves,,,Floral Print,,Gentle Machine Wash or Hand Wash Separately,1,The model (height 5'6) is wearing a size M,India,"Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015","Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015"
grey-floral-printed-romanam-top,,,,,,,,Size,M,10061-GREY-M,260,shopify,10,deny,manual,1199,,TRUE,TRUE,8903629426171,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10061-grey-jul-02.jpg,2,"Grey Floral Printed Romanam Top, view 2",,,,,g,,,,,,,,,,,,,,,,,
grey-floral-printed-romanam-top,,,,,,,,Size,L,10061-GREY-L,260,shopify,10,deny,manual,1199,,TRUE,TRUE,8903629426188,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10061-grey-jul-03.jpg,3,"Grey Floral Printed Romanam Top, view 3",,,,,g,,,,,,,,,,,,,,,,,
grey-floral-printed-romanam-top,,,,,,,,Size,XL,10061-GREY-XL,260,shopify,10,deny,manual,1199,,TRUE,TRUE,8903629426195,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10061-grey-jul-04.jpg,4,"Grey Floral Printed Romanam Top, view 4",,,,,g,,,,,,,,,,,,,,,,,
grey-floral-printed-romanam-top,,,,,,,,Size,XXL,10061-GREY-XXL,260,shopify,10,deny,manual,1199,,TRUE,TRUE,8903629426201,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10061-grey-jul-05.jpg,5,"Grey Floral Printed Romanam Top, view 5",,,,,g,,,,,,,,,,,,,,,,,
yellow-embroidered-cotton-straight-kurta-pant-set,MERGE,Yellow Embroidered Cotton Straight Kurta Pant Set,"<p>This elegant White and Yellow 2-Piece Kurta Pant Set, crafted from premium cotton fabric for exceptional comfort and breathability. The straight-fit white kurta is beautifully adorned with delicate yellow floral embroidery on the yoke, sleeves, hemline, and back, adding a graceful touch to its timeless silhouette.</p><p>Paired with matching straight cotton pants, this ensemble offers the perfect blend of sophistication and everyday comfort.</p>",Raa Vedic,Kurta Set,"2 Piece Set, Cotton, 1500 to 2500, Under the Neem Trees, New Arrival, Yellow, Straight Fit, Embroidered, Floral, Daily Wear",TRUE,Size,S,10052A-YELLOW-S,520,shopify,10,deny,manual,1999,,TRUE,TRUE,8903629426713,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10052a-yellow-jul-01.jpg,1,"Yellow Embroidered Cotton Straight Kurta Pant Set, view 1",REPLACE,FALSE,Yellow Embroidered Cotton Straight Kurta Pant Set | Raa Vedic,"This elegant White and Yellow 2-Piece Kurta Pant Set, crafted from premium cotton fabric for exceptional comfort and breathability. The straight-fit white kurta is beautifully adorned with delicate yellow floral embroidery on the yoke, sleeves, hemline, and back, adding a graceful touch to its timeless silhouette.Paire",g,active,10052A,Cotton,Yellow,Straight Fit,V-Neck,Three-Quarter Sleeves,Solid Straight Cotton Pants,,Embroidered Floral,,Gentle Machine Wash or Hand Wash Separately,2,The model (height 5'6) is wearing a size M,India,"Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015","Vedic Apparel Pvt Ltd, 2B,2nd floor, Sambhav House, Premchandnagar Road, Judges Bunglow Rd, Bodakdev, Ahmedabad, Gujarat 380015"
yellow-embroidered-cotton-straight-kurta-pant-set,,,,,,,,Size,M,10052A-YELLOW-M,520,shopify,10,deny,manual,1999,,TRUE,TRUE,8903629426720,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10052a-yellow-jul-02.jpg,2,"Yellow Embroidered Cotton Straight Kurta Pant Set, view 2",,,,,g,,,,,,,,,,,,,,,,,
yellow-embroidered-cotton-straight-kurta-pant-set,,,,,,,,Size,L,10052A-YELLOW-L,520,shopify,10,deny,manual,1999,,TRUE,TRUE,8903629426737,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10052a-yellow-jul-03.jpg,3,"Yellow Embroidered Cotton Straight Kurta Pant Set, view 3",,,,,g,,,,,,,,,,,,,,,,,
yellow-embroidered-cotton-straight-kurta-pant-set,,,,,,,,Size,XL,10052A-YELLOW-XL,520,shopify,10,deny,manual,1999,,TRUE,TRUE,8903629426744,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10052a-yellow-jul-04.jpg,4,"Yellow Embroidered Cotton Straight Kurta Pant Set, view 4",,,,,g,,,,,,,,,,,,,,,,,
yellow-embroidered-cotton-straight-kurta-pant-set,,,,,,,,Size,XXL,10052A-YELLOW-XXL,520,shopify,10,deny,manual,1999,,TRUE,TRUE,8903629426751,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10052a-yellow-jul-05.jpg,5,"Yellow Embroidered Cotton Straight Kurta Pant Set, view 5",,,,,g,,,,,,,,,,,,,,,,,
