Handle,Title,Body HTML,Collection Type,Published,Sort Order,Template Suffix,Image Src,Image Alt Text,SEO Title,SEO Description,Must Match,Rule: Column,Rule: Relation,Rule: Condition
off-white,Off White,<p>Every Off White piece in the collection.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10051-off-white-01.jpg,"Off White, Off White Embroidered Organza A-Line Kurta Pant Set",Off White | Raa Vedic,Every Off White piece in the collection.,all conditions,Tag,Equals,Off White
pink,Pink,<p>Every Pink piece in the collection.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10053a-white-and-pink-01.jpg,"Pink, White & Pink Floral Printed Cotton Straight Kurta Pant Set",Pink | Raa Vedic,Every Pink piece in the collection.,all conditions,Tag,Equals,Pink
peach,Peach,<p>Every Peach piece in the collection.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10036-peach-01.jpg,"Peach, Peach Embroidered Cotton Flex Straight Kurta Pant Dupatta Set",Peach | Raa Vedic,Every Peach piece in the collection.,all conditions,Tag,Equals,Peach
lavender,Lavender,<p>Every Lavender piece in the collection.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10064-lavender-01.jpg,"Lavender, Lavender Floral Printed Romanam Top",Lavender | Raa Vedic,Every Lavender piece in the collection.,all conditions,Tag,Equals,Lavender
olive,Olive,<p>Every Olive piece in the collection.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10062-olive-01.jpg,"Olive, Olive Floral Printed Romanam Top",Olive | Raa Vedic,Every Olive piece in the collection.,all conditions,Tag,Equals,Olive
sea-green,Sea Green,<p>Every Sea Green piece in the collection.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10037-sea-green-01.jpg,"Sea Green, Sea Green Embroidered Cotton Flex Straight Kurta Pant Dupatta Set",Sea Green | Raa Vedic,Every Sea Green piece in the collection.,all conditions,Tag,Equals,Sea Green
under-rs-1500,Under Rs. 1500,<p>Raa Vedic Under Rs. 1500.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10063-off-white-01.jpg,"Under Rs. 1500, Off White Floral Printed Romanam Top",Under Rs. 1500 | Raa Vedic,Raa Vedic Under Rs. 1500.,all conditions,Tag,Equals,Under 1500
rs-1500-to-rs-2500,Rs. 1500 to Rs. 2500,<p>Raa Vedic Rs. 1500 to Rs. 2500.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10003-lavender-01.jpg,"Rs. 1500 to Rs. 2500, Lavender Floral Printed Fendy Silk Straight Kurta Pant Dupatta Set",Rs. 1500 to Rs. 2500 | Raa Vedic,Raa Vedic Rs. 1500 to Rs. 2500.,all conditions,Tag,Equals,1500 to 2500
rs-2500-to-rs-3500,Rs. 2500 to Rs. 3500,<p>Raa Vedic Rs. 2500 to Rs. 3500.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10014-maroon-and-off-white-01.jpg,"Rs. 2500 to Rs. 3500, Maroon & Off White Embroidered Cotton Satin Straight Kurta Pant Dupatta Set",Rs. 2500 to Rs. 3500 | Raa Vedic,Raa Vedic Rs. 2500 to Rs. 3500.,all conditions,Tag,Equals,2500 to 3500
above-rs-3500,Above Rs. 3500,<p>Raa Vedic Above Rs. 3500.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10001-black-01.jpg,"Above Rs. 3500, Black Printed Flared Cotton Kurta Pant Dupatta Set",Above Rs. 3500 | Raa Vedic,Raa Vedic Above Rs. 3500.,all conditions,Tag,Equals,Above 3500
under-the-neem-trees,Under the Neem Trees,"<p>The full Under the Neem Trees shoot, every piece in the drop.</p>",Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10023-olive-01.jpg,"Under the Neem Trees, Olive Embroidered Cotton Satin Kurta Set with Pants & Dupatta Product Description",Under the Neem Trees | Raa Vedic,"The full Under the Neem Trees shoot, every piece in the drop.",all conditions,Tag,Equals,Under the Neem Trees
bestsellers,Bestsellers,<p>The pieces moving fastest right now.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10001-black-01.jpg,"Bestsellers, Black Printed Flared Cotton Kurta Pant Dupatta Set",Bestsellers | Raa Vedic,The pieces moving fastest right now.,all conditions,Tag,Equals,Bestseller
new-arrivals,New Arrivals,<p>The newest additions to the collection.</p>,Smart,TRUE,best-selling,,https://raw.githubusercontent.com/shardulpandey/raavedic-product-images/main/10025-off-white-01.jpg,"New Arrivals, Off White Embroidered Rayon Straight Kurta Pant Dupatta Set",New Arrivals | Raa Vedic,The newest additions to the collection.,all conditions,Tag,Equals,New Arrival
